path	rg	cs_prod	cs_test	sub_call	sub_fn_ptr	sub_serde	sub_string	sub_comment	a	b	c	comment
crates/backfill/src/history_bootstrap.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backfill/src/history_bootstrap_tests.rs	5	0	5	5	0	0	0	0	0	0	5	0
crates/backfill/src/lib.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backfill/src/observed_backfill.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backfill/src/rate_limited_backfill_tests.rs	1	0	2	1	0	0	0	0	0	0	1	0
crates/backfill/src/timeout_backfill.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/backtest-cli/src/commands/attribute.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/backtest-cli/src/commands/golden_sweep.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/backtest-cli/src/file_repository.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/backtest-cli/src/output/../output_tests.rs	0	0	5	0	0	0	0	0	0	0	0	0
crates/backtest-cli/src/output_tests.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/backtest-cli/src/smoke.rs	5	5	0	5	0	0	0	0	5	0	0	0
crates/backtest-cli/tests/bdd_3133_signal_pair_backtest.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/backtest-cli/tests/bdd_group_core/bdd.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/backtest-cli/tests/bdd_group_core/bdd_cli_params.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/backtest-cli/tests/bdd_group_core/bdd_compare_runs.rs	6	0	0	6	0	0	0	0	0	0	6	0
crates/backtest-cli/tests/bdd_group_features/bdd_1711_param_sweep.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/backtest-cli/tests/bdd_group_strategy/bdd_888_strategy_profile.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/backtest-cli/tests/harness/integration_setup.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/chart/src/export_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/chart/src/scale_tests.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/collection-pipeline/src/catchup_service_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/collection-pipeline/src/collection_tick_handler.rs	4	0	4	4	0	0	0	0	0	0	4	0
crates/collection-pipeline/src/derivatives_collector.rs	1	1	0	0	1	0	0	0	1	0	0	0
crates/collection-pipeline/src/derivatives_collector_tests.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/collection-pipeline/src/gap_queue_processor.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/collection-pipeline/src/live_add_symbol.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/collection-pipeline/src/orchestrator_tests.rs	11	0	11	11	0	0	0	0	0	0	11	0
crates/collector-cli/src/bootstrap.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/collector-cli/src/main.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/collector-cli/tests/bdd_apalis_scheduler.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/collector-cli/tests/bdd_borrow_rate_collection.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/collector-cli/tests/bdd_scheduler.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/collector-cli/tests/harness/integration_bootstrap.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/collector-cli/tests/harness/integration_derivatives_collection.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/collector-cli/tests/harness/integration_health.rs	7	0	0	7	0	0	0	0	0	0	7	0
crates/data-management/src/bulk_import_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/data-management/src/collection.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/data-management/src/collection_tests.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/data-management/src/metrics_service_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/data-management/src/series_manager_tests.rs	4	0	5	4	0	0	0	0	0	0	4	0
crates/data-management/src/universe_seed.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/digest-cli/src/main.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-collection/src/candle_observation/../candle_observation_tests.rs	0	0	14	0	0	0	0	0	0	0	0	0
crates/domain-collection/src/candle_observation_tests.rs	14	0	0	14	0	0	0	0	0	0	14	0
crates/domain-collection/src/derivatives.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/domain-collection/src/gap_attempt.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-collection/src/gap_attempt_tests.rs	5	0	5	5	0	0	0	0	0	0	5	0
crates/domain-collection/src/gap_tests.rs	8	0	8	7	0	0	0	1	0	0	8	0
crates/domain-collection/src/rate_limit_service.rs	5	0	5	5	0	0	0	0	0	0	5	0
crates/domain-collection/tests/portage_collection.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-ids/src/lib.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-ledger/src/journal_entry_builder.rs	1	1	0	0	1	0	0	0	1	0	0	0
crates/domain-ledger/src/journal_entry_tests.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/domain-market/src/bus_event_tests.rs	1	0	1	1	0	0	0	0	0	0	1	0
crates/domain-market/src/pool_health.rs	12	0	11	11	0	0	0	1	0	0	11	1
crates/domain-market/src/price_quote_tests.rs	7	0	7	7	0	0	0	0	0	0	7	0
crates/domain-market/src/tick.rs	2	2	0	1	0	1	0	0	2	0	0	0
crates/domain-market/src/tick_tests.rs	12	0	12	12	0	0	0	0	0	0	12	0
crates/domain-market/src/time_range.rs	4	1	2	3	0	0	0	1	1	0	2	1
crates/domain-market/tests/pool_health_test.rs	8	0	0	8	0	0	0	0	0	0	8	0
crates/domain-market/tests/portage_market.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/domain-portfolio/src/account.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-portfolio/src/position/mod.rs	3	3	0	3	0	0	0	0	3	0	0	0
crates/domain-portfolio/src/strategy_assignment.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-portfolio/tests/unit/account_tests.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-portfolio/tests/unit/backtest_run_tests.rs	13	0	0	13	0	0	0	0	0	0	13	0
crates/domain-portfolio/tests/unit/backtest_tests.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-portfolio/tests/unit/funding_tests.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/domain-portfolio/tests/unit/liquidation_tests.rs	8	0	0	8	0	0	0	0	0	0	8	0
crates/domain-portfolio/tests/unit/realized_pnl_tests.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-portfolio/tests/unit/strategy_assignment_tests.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-portfolio/tests/unit/tax_lot_tests.rs	4	0	0	4	0	0	0	0	0	0	4	0
crates/domain-portfolio/tests/unit/trade_tests.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/domain-portfolio/tests/unit/valuation_tests.rs	6	0	0	6	0	0	0	0	0	0	6	0
crates/domain-strategy/src/../tests/unit/filter_pipeline_tests.rs	0	0	8	0	0	0	0	0	0	0	0	0
crates/domain-strategy/src/../tests/unit/signal_composition_tests.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-strategy/src/../tests/unit/signal_tests.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-strategy/src/../tests/unit/workflow_run_tests.rs	0	0	5	0	0	0	0	0	0	0	0	0
crates/domain-strategy/src/golden_fish_v2/oi_alignment.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/domain-strategy/src/pair_simulation.rs	6	0	6	6	0	0	0	0	0	0	6	0
crates/domain-strategy/src/sweep.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-strategy/src/voter/adapters/eiv_voter.rs	3	0	3	3	0	0	0	0	0	0	3	0
crates/domain-strategy/tests/unit/filter_pipeline_tests.rs	8	0	0	8	0	0	0	0	0	0	8	0
crates/domain-strategy/tests/unit/signal_composition_tests.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-strategy/tests/unit/signal_tests.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-strategy/tests/unit/workflow_run_tests.rs	5	0	0	5	0	0	0	0	0	0	5	0
crates/domain-trading-analysis/src/walk_forward_tests.rs	9	0	21	9	0	0	0	0	0	0	9	0
crates/domain-trading/src/../tests/unit/risk_budget_test.rs	0	0	11	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/../tests/unit/risk_profile_test.rs	0	0	3	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/../tests/unit/trading_session_test.rs	0	0	6	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/circuit_breaker.rs	2	0	2	2	0	0	0	0	0	0	2	0
crates/domain-trading/src/comparison.rs	2	0	0	0	0	0	0	2	0	0	0	2
crates/domain-trading/src/execution/../../tests/unit/execution_execution_report_test.rs	0	0	1	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/fill_accounting.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-trading/src/ledger/../../tests/unit/ledger_funding_entries_test.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/ledger/../../tests/unit/ledger_liquidation_entries_test.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/ledger/../../tests/unit/ledger_margin_entries_test.rs	0	0	24	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/ledger/../../tests/unit/ledger_trade_entries_test.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/ledger/../../tests/unit/ledger_transfer_entries_test.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/portfolio/../../tests/unit/portfolio_account_group_test.rs	0	0	1	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/portfolio/account_group.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-trading/src/reconciliation.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/domain-trading/src/risk_budget_state.rs	3	3	0	3	0	0	0	0	3	0	0	0
crates/domain-trading/src/simulation/../../tests/unit/simulation_fill_test.rs	0	0	5	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/simulation/../../tests/unit/simulation_simple_simulator_test.rs	0	0	2	0	0	0	0	0	0	0	0	0
crates/domain-trading/src/simulation/simple_simulator.rs	1	1	0	1	0	0	0	0	1	0	0	0
crates/domain-trading/src/trading_session.rs	2	2	0	2	0	0	0	0	2	0	0	0
crates/domain-trading/tests/bdd_group_execution/bdd_1661_trading_session.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-trading/tests/bdd_group_execution/bdd_cfd.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-trading/tests/bdd_group_risk/bdd_1660_risk_profile.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-trading/tests/bdd_group_risk/bdd_2890_runtime_safety.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-trading/tests/bdd_group_types/bdd_1183_hold_chain.rs	3	0	0	3	0	0	0	0	0	0	3	0
crates/domain-trading/tests/unit/execution_execution_report_test.rs	1	0	0	1	0	0	0	0	0	0	1	0
crates/domain-trading/tests/unit/ledger_funding_entries_test.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-trading/tests/unit/ledger_liquidation_entries_test.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-trading/tests/unit/ledger_margin_entries_test.rs	24	0	0	24	0	0	0	0	0	0	24	0
crates/domain-trading/tests/unit/ledger_trade_entries_test.rs	2	0	0	2	0	0	0	0	0	0	2	0
crates/domain-trading/tests/unit/ledger_transfer_entries_test.rs	2	0	0	2	0	0	0	0	0	0	2	0
